district,block,village,village_code
BANSWARA,GANGADTALAI,GAMANAMALA,0010B1383BF6432DB28085159
DHAR,DAHI,THANDLA,0013273B4D374E8E8B7BFF58B
JHABUA,PETLAWAD 1,UNNAI,00172BC3B0D541CEA09386834
BANSWARA,SAJJANGARH 1,JOGRI MATA,0029D2E7D95349F8B0AF52E18
JHABUA,THANDLA,BHAIROGARH,002A2533D59F49F0B29B4B590
DHAR,BAGH,DEVDHA,0030A8C6A90E41E6AC922096B
KHANDWA,BADWAHA 2,GORARADIYA,004C627CE0564E63BEC730A2E
UDAIPUR,BHINDER,SINHAD,004F74F69D4E4A7EAF9644945
UDAIPUR,BHINDER,MASINGPURA,0053105F14C34FF8869BF44F0
KHALWA,KHALWA,GULAI FV,005CE455331F4E1FAF5074F88
SALUMBER,JHADOL-1,BANSIWARA,006E8ABFC3E24B3BB1DD25E07
BANSWARA,GHATOL 1,UMARAPADA,009298DA274A47E7B0E56E38B
BANSWARA,GHATOL 1,DELAVADA RAVNA,00930656805F42288DDFC2D94
UDAIPUR,GIRWA 1,CHARAMAR,00B356B8A61F499A86FA45303
BARWANI,PATI,SAWARIYAPANI,00BB4B173D014F849FF81D9B8
CHITRAKOOT,MURATGANJ,NEEVI SHANA,00CB4953BCFA4AAB85E26356F
UDAIPUR,GOGUNDA 2,MATASULA1,00D8A1B0042A40EE8E305EAF3
JHALAWAR,DAG 1,DHAMANDA KHURD,00DCFC226F4E4998BA2CB95DF
SALUMBER,RISHABHDEV,KALAVATPALA,00E1654BC73247E6AB2776BA9
BANSWARA,TALWARA,ARNIYA,00ECA198179F40E38728268C0
JHALAWAR,DAG 2,GARDA,00F238E8CA4B4F38A5F2AA414
DHAR,GANDHWANI 2,SANGVIKALA,00F60C2ED9724824BEC1DA597
UDAIPUR,GIRWA 1,UPLA CHOTIA,00F929449644446DB1B3CDCA8
UDAIPUR,MAVLI,KHARTANA,00FBEC0116AB4C85A1987926C
SALUMBER,KHERWARA-1,KHERWADA (CHA),0100276C2B3544DCBED0AF514
JHABUA,RANAPUR,RUPAKHEDA,0104067CA8C24161B4943695F
BANSWARA,GANGADTALAI,ROHNIYA,0112CBF7C4DD48CB9AA1AC335
BANSWARA,BANSWARA 2,SAMAPADA,0114095C99504A8C8F14D2AA3
UDAIPUR,MAVLI,GADOLI,011DCCD001284B198091A904B
DHAR,GANDHWANI 2,MANVAD,0122DB3C84AE4F088B87081FD
UDAIPUR,MAVLI,MANDU THAL,013683FA31F6441E9800A41F3
KHANDWA,KILLOD,MALUD,013EE6FEA4ED4D42A0542A219
JHABUA,RAMA,AMALIPADA,014028D281C34864A9EBA4697
UDAIPUR,KOTRA 3,UPLI SUBRI,014E6AB55458467E9952EE1EE
ALIRAJPUR,SONDWA-1,DARKALI,01509105C4D64897840544010
CHITRAKOOT,CHITRAKOOT,ITKHARI,0157F03B024F452399F5503F5
DHAR,SARDARPUR-2,TIMAYACHI,0168B7E7BA5746198CE36DD47
DHAR,DHARAMPURI,PIPALYAKAMEEN,01749E26A6ED41A78D2A5D6FD
BHILWARA,MANDALGARH,KASYA,017C3EEAA3204ECFA51D6BBCD
BANSWARA,GARHI,VAYLA,0180C918AC5440A2A35EB34DB
SALUMBER,KHERWARA-2,SATSAGDA,0184B2F72122437FBEB67646E
SALUMBER,JHADOL-2,BANSVARI,01953B1F67DF42CE8323DFA89
UDAIPUR,GOGUNDA 2,RANA,01A8A2C88AB04238AB554EC0E
KHANDWA,BADWAHA 1,KHODI,01AB5C3A3F8F430792868B156
BHILWARA,JAHAJPUR,MANPURA,01C177CA72C445F0924EE43B4
DHAR,BAGH,BAKI BAGH,01C7742D5DD140AB8D8AB0B43
SALUMBER,JHADOL-2,MASIGPUR,01D0E0C0ADA04CE7A85778C02
JHABUA,THANDLA,SADEDA,01D49BB511814F79B2C402E4B
JHALAWAR,BHAWANIMANDI,PALIYAKHEDI,01DACDAA13634845A501963DA
BANSWARA,GANGADTALAI,BAZAR,01DF551DC3CB40B699437743E
SALUMBER,RISHABHDEV,BHUDHAR,01ED8E33720C4E3A941884F7B
BANSWARA,GHATOL 2,CHIROLA,01EEC4847FCF4296951F83D8C
BANSWARA,BANSWARA 1,GANOU,02185953213E4970BA971A678
ALIRAJPUR,UDAYGARH,RAAT MALIYA,022083341F3840B29EC9CCC53
SALUMBER,JHADOL-1,BHAKUMBA,022D40F1BAE240789E4EC7B01
JHABUA,RAMA,DOCHHKA,02326290BFE84C29ADD7E6DD7
KHANDWA,HARSOOD,MOJWADI RAIYAT,023679ED608B4C62B1022515A
KHANDWA,BADWAHA 1,DOLATPURA,024428106BF642818F755D0DC
DHAR,KUKSHI,JHARDI,0247F0113CA34AFBBB3E6A95A
SALUMBER,SARADA,BALUA,024C5B53CE0B4B368AD9A672F
DHAR,SARDARPUR-1,SEMALKHEDI KHURD,0256C4ACCA4543CEB1C915C8F
SALUMBER,SALUMBAR,JAMBUDA2,026B7F1FC9A74AECB7E18AFC9
KHANDWA,BADWAHA 1,UDHRANYA,0270A0957B4A4712B5A1544D7
KHANDWA,BADWAHA 1,SEMRALA,027C2314B0344E91898A43FEB
CHITRAKOOT,KAUSHAMBI,MEDUWA SALEMPUR,0284E15ED03D45109511A81C3
UDAIPUR,GOGUNDA 2,BAYANA,0295FD333598473DB5AD38646
BANSWARA,BAGIDORA,RAGELA PADA,02A73A729368445CAD4CB553A
BANSWARA,ARTHUNA,ITAUVA,02A99BFE8FE946DEA25D3B8D4
DHAR,SARDARPUR-1,DANTOLI,02B63E5818114D7E89680181F
KHALWA,KHALWA,KOTWARIA FV,02C9BEADA438439E889756FA0
JHALAWAR,MANOHARTHANA 1,GHADAWALI,02CB8F7485E04B7AA0A23D6C2
JHALAWAR,JHALARAPATAN 2,SEMLI PATPADIYA,02D0819272E54564A6F30C856
JHALAWAR,DAG 2,KARMAKHEDI2,02E0B87973AB4D5BA114AA91F
BANSWARA,TALWARA,BHILVAN,02F379FDCF6C4BE588CB04E60
BARWANI,RAJPUR,THAN,03062B0F6AD24D99B4AD2AFED
SIDHI,KUSAMI,RAUHAL,0314D1F5C5864B9EA9DDD20E7
JHALAWAR,DAG 1,SILHGARH,03184F0A50174839A897EBD1C
SALUMBER,KHERWARA-2,SARERA,032DBE66136D4AA7B1109117A
UDAIPUR,GOGUNDA 2,DEALA WAS,0330A3372360488EBBD8970A1
BARWANI,THIKRI,TALWADA DEB,033670393AEE47AD843F958E1
BANSWARA,GHATOL 1,GANESHPURA,033D41CD132C427CA0BCAFE46
